Borough ,Amount of strong pass
Barking and Dagenham,42.6
Barnet,62.7
Bexley,49.4
Brent,50.5
Bromley,51.1
Camden,46.3
Croydon,40.5
Ealing,53.6
Enfield,43.2
Greenwich,41.4
Hackney,47.6
Hammersmith and Fulham,55.7
Haringey,43.1
Harrow,50.1
Havering,48.5
Hillingdon,46.7
Hounslow,49.1
Islington,42.3
Kensington and Chelsea,55.7
Kingston upon Thames,61.6
Lambeth,39.1
Lewisham,37.4
Merton,48.9
Newham,46.7
Redbridge,59.5
Richmond upon Thames,55.6
Southwark,45.5
Sutton,64.3
Tower Hamlets,45.8
Waltham Forest,42.7
Wandsworth,48.3
Westminster,53.5
